age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,campaign,pdays,previous,poutcome,y,had_previous_contact,campaign_log,previous_log
53,management,single,tertiary,no,0,no,no,unknown,20,jun,7,-1,0,no_previous_contact,no,0,2.0794415416798357,0.0
31,technician,single,tertiary,no,22,yes,no,unknown,9,may,3,-1,0,no_previous_contact,yes,0,1.3862943611198906,0.0
36,management,married,tertiary,no,22,no,no,cellular,2,oct,2,-1,0,no_previous_contact,no,0,1.0986122886681098,0.0
38,management,married,tertiary,no,276,no,no,cellular,14,oct,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
41,technician,single,secondary,no,568,yes,no,unknown,30,may,2,-1,0,no_previous_contact,no,0,1.0986122886681098,0.0
31,management,single,tertiary,no,58,no,no,cellular,29,aug,2,-1,0,no_previous_contact,no,0,1.0986122886681098,0.0
36,entrepreneur,married,secondary,no,2971,no,no,cellular,12,nov,1,97,8,failure,yes,1,0.6931471805599453,2.1972245773362196
31,management,single,tertiary,no,999,yes,no,cellular,13,apr,5,-1,0,no_previous_contact,no,0,1.791759469228055,0.0
33,management,married,secondary,no,2858,yes,yes,cellular,12,may,1,298,5,failure,no,1,0.6931471805599453,1.791759469228055
38,blue-collar,married,secondary,no,171,yes,yes,unknown,20,may,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
44,admin.,single,secondary,no,2524,no,no,unknown,19,jun,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
56,entrepreneur,married,secondary,no,196,no,no,cellular,19,nov,3,-1,0,no_previous_contact,no,0,1.3862943611198906,0.0
57,technician,married,secondary,no,3284,yes,no,unknown,26,may,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
58,management,married,tertiary,no,3948,no,yes,cellular,13,aug,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
36,admin.,married,secondary,no,-423,yes,yes,unknown,13,may,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
38,technician,single,tertiary,no,0,no,yes,cellular,11,jul,2,-1,0,no_previous_contact,no,0,1.0986122886681098,0.0
58,management,married,tertiary,no,4265,yes,no,unknown,29,may,2,-1,0,no_previous_contact,no,0,1.0986122886681098,0.0
42,technician,married,tertiary,no,1493,yes,yes,cellular,13,aug,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
27,self-employed,single,tertiary,yes,5,no,yes,cellular,18,jul,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
32,blue-collar,married,secondary,no,-103,yes,no,cellular,14,may,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
39,management,married,secondary,no,763,no,no,cellular,19,nov,1,153,2,other,no,1,0.6931471805599453,1.0986122886681098
30,student,single,secondary,no,1681,no,no,cellular,7,dec,2,-1,0,no_previous_contact,yes,0,1.0986122886681098,0.0
27,blue-collar,married,secondary,no,556,yes,no,cellular,9,feb,7,-1,0,no_previous_contact,no,0,2.0794415416798357,0.0
30,services,single,tertiary,no,3516,yes,no,unknown,29,may,4,-1,0,no_previous_contact,no,0,1.6094379124341003,0.0
44,technician,divorced,secondary,no,314,yes,no,unknown,12,aug,1,651,1,success,no,1,0.6931471805599453,0.6931471805599453
44,management,divorced,tertiary,no,2367,no,no,cellular,22,sep,1,184,6,success,yes,1,0.6931471805599453,1.9459101490553132
40,blue-collar,married,secondary,no,3122,yes,no,unknown,12,may,3,-1,0,no_previous_contact,no,0,1.3862943611198906,0.0
34,management,married,tertiary,no,703,yes,no,cellular,14,apr,1,-1,0,no_previous_contact,yes,0,0.6931471805599453,0.0
57,technician,divorced,secondary,no,2352,yes,no,cellular,21,nov,2,-1,0,no_previous_contact,no,0,1.0986122886681098,0.0
20,student,single,secondary,no,215,no,no,cellular,21,aug,4,183,1,other,yes,1,1.6094379124341003,0.6931471805599453
31,technician,single,secondary,no,1014,yes,no,cellular,23,jul,4,-1,0,no_previous_contact,no,0,1.6094379124341003,0.0
31,blue-collar,single,secondary,no,88,yes,no,cellular,20,apr,5,-1,0,no_previous_contact,no,0,1.791759469228055,0.0
31,admin.,single,secondary,no,396,yes,no,unknown,19,may,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
32,unemployed,married,secondary,no,2996,yes,no,unknown,19,may,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
56,blue-collar,married,primary,no,-116,yes,no,cellular,8,may,2,-1,0,no_previous_contact,no,0,1.0986122886681098,0.0
34,management,married,tertiary,no,676,no,no,telephone,11,nov,1,-1,0,no_previous_contact,yes,0,0.6931471805599453,0.0
51,technician,married,secondary,no,221,yes,no,unknown,7,may,3,-1,0,no_previous_contact,no,0,1.3862943611198906,0.0
56,management,married,primary,no,21,no,no,cellular,7,jul,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
45,services,married,secondary,no,88,yes,no,cellular,25,jul,4,-1,0,no_previous_contact,no,0,1.6094379124341003,0.0
53,management,married,primary,no,798,yes,no,telephone,2,feb,1,217,2,failure,no,1,0.6931471805599453,1.0986122886681098
49,technician,married,secondary,no,177,yes,yes,cellular,8,jul,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
49,unknown,married,tertiary,no,325,no,no,unknown,20,jun,15,-1,0,no_previous_contact,no,0,2.772588722239781,0.0
32,technician,married,secondary,no,3322,yes,no,cellular,20,apr,1,74,4,failure,no,1,0.6931471805599453,1.6094379124341003
51,housemaid,married,primary,no,2499,no,no,unknown,12,jun,5,-1,0,no_previous_contact,no,0,1.791759469228055,0.0
46,technician,divorced,tertiary,no,0,yes,no,cellular,11,aug,5,-1,0,no_previous_contact,no,0,1.791759469228055,0.0
49,housemaid,married,primary,no,360,no,no,unknown,30,jun,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
43,self-employed,married,primary,no,5039,no,no,cellular,20,nov,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
37,services,married,secondary,no,1483,no,no,unknown,20,jun,9,-1,0,no_previous_contact,no,0,2.302585092994046,0.0
41,management,married,tertiary,no,725,no,no,cellular,26,aug,10,-1,0,no_previous_contact,no,0,2.3978952727983707,0.0
44,technician,single,secondary,no,0,no,no,cellular,20,aug,2,-1,0,no_previous_contact,no,0,1.0986122886681098,0.0
52,management,married,tertiary,no,23552,yes,no,cellular,12,may,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
55,admin.,married,secondary,no,541,yes,yes,cellular,14,jul,3,-1,0,no_previous_contact,no,0,1.3862943611198906,0.0
42,technician,married,secondary,no,4466,no,no,cellular,17,nov,2,-1,0,no_previous_contact,no,0,1.0986122886681098,0.0
52,technician,married,unknown,no,2709,yes,no,telephone,9,feb,7,-1,0,no_previous_contact,no,0,2.0794415416798357,0.0
61,self-employed,divorced,tertiary,no,52587,no,no,cellular,15,feb,3,189,1,success,yes,1,1.3862943611198906,0.6931471805599453
32,technician,single,tertiary,no,388,no,no,cellular,2,aug,8,95,3,success,no,1,2.1972245773362196,1.3862943611198906
46,services,married,secondary,no,-11,yes,no,cellular,28,aug,6,-1,0,no_previous_contact,no,0,1.9459101490553132,0.0
54,technician,married,secondary,no,4475,yes,no,cellular,19,nov,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
48,management,married,tertiary,no,363,no,no,cellular,18,nov,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
70,retired,married,secondary,no,2575,no,no,telephone,20,apr,2,-1,0,no_previous_contact,yes,0,1.0986122886681098,0.0
51,admin.,married,tertiary,no,0,yes,yes,cellular,8,mar,2,-1,0,no_previous_contact,yes,0,1.0986122886681098,0.0
55,management,married,secondary,no,11655,no,no,cellular,5,aug,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
50,blue-collar,married,primary,no,162,yes,no,cellular,7,may,3,-1,0,no_previous_contact,no,0,1.3862943611198906,0.0
44,self-employed,married,secondary,no,264,yes,no,unknown,13,may,2,-1,0,no_previous_contact,no,0,1.0986122886681098,0.0
37,technician,married,secondary,no,180,no,no,cellular,8,aug,2,-1,0,no_previous_contact,no,0,1.0986122886681098,0.0
41,management,single,secondary,no,3234,yes,no,cellular,30,jan,1,-1,0,no_previous_contact,yes,0,0.6931471805599453,0.0
46,blue-collar,married,primary,no,537,no,no,unknown,26,may,5,-1,0,no_previous_contact,no,0,1.791759469228055,0.0
37,self-employed,married,secondary,no,2260,yes,no,unknown,30,may,3,-1,0,no_previous_contact,no,0,1.3862943611198906,0.0
42,entrepreneur,married,secondary,no,1002,no,no,unknown,20,jun,3,-1,0,no_previous_contact,no,0,1.3862943611198906,0.0
35,blue-collar,married,secondary,no,5639,yes,no,cellular,20,nov,2,-1,0,no_previous_contact,yes,0,1.0986122886681098,0.0
58,management,married,tertiary,no,-565,yes,yes,cellular,17,nov,2,-1,0,no_previous_contact,no,0,1.0986122886681098,0.0
32,management,married,tertiary,no,3154,no,no,cellular,3,jun,1,44,4,failure,no,1,0.6931471805599453,1.6094379124341003
43,blue-collar,married,primary,no,823,yes,no,telephone,7,may,12,-1,0,no_previous_contact,no,0,2.5649493574615367,0.0
58,housemaid,married,primary,no,0,yes,no,telephone,9,jul,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
30,management,married,tertiary,no,0,yes,no,cellular,27,aug,4,-1,0,no_previous_contact,no,0,1.6094379124341003,0.0
26,admin.,single,secondary,no,609,no,no,telephone,28,jan,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
33,services,single,secondary,no,-56,no,yes,cellular,10,jul,5,-1,0,no_previous_contact,no,0,1.791759469228055,0.0
50,self-employed,married,unknown,no,-84,yes,no,unknown,6,may,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
28,blue-collar,married,secondary,no,339,yes,no,unknown,26,may,2,-1,0,no_previous_contact,no,0,1.0986122886681098,0.0
49,services,divorced,primary,no,90,no,no,cellular,23,jul,4,-1,0,no_previous_contact,no,0,1.6094379124341003,0.0
40,blue-collar,married,secondary,no,1522,yes,yes,unknown,14,may,2,-1,0,no_previous_contact,no,0,1.0986122886681098,0.0
39,admin.,married,tertiary,no,1322,yes,no,cellular,24,sep,3,486,1,other,no,1,1.3862943611198906,0.6931471805599453
36,management,married,tertiary,no,853,yes,yes,cellular,2,feb,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
26,admin.,single,secondary,no,338,no,no,cellular,29,oct,1,188,2,no_previous_contact,yes,1,0.6931471805599453,1.0986122886681098
47,management,divorced,tertiary,no,6333,yes,no,telephone,19,nov,4,-1,0,no_previous_contact,no,0,1.6094379124341003,0.0
65,retired,married,primary,no,1760,no,no,cellular,18,aug,4,-1,0,no_previous_contact,yes,0,1.6094379124341003,0.0
34,management,married,tertiary,no,1352,no,no,cellular,8,aug,2,-1,0,no_previous_contact,no,0,1.0986122886681098,0.0
42,self-employed,divorced,secondary,no,484,yes,no,cellular,21,nov,3,127,3,failure,no,1,1.3862943611198906,1.3862943611198906
42,blue-collar,divorced,secondary,no,685,yes,no,unknown,30,may,4,-1,0,no_previous_contact,no,0,1.6094379124341003,0.0
41,self-employed,married,secondary,no,304,yes,no,unknown,12,may,2,-1,0,no_previous_contact,no,0,1.0986122886681098,0.0
39,entrepreneur,married,primary,no,238,yes,yes,cellular,19,nov,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
63,retired,married,unknown,no,1849,no,no,cellular,1,sep,2,-1,0,no_previous_contact,no,0,1.0986122886681098,0.0
52,management,married,tertiary,no,271,yes,no,unknown,5,may,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
43,technician,married,secondary,no,308,yes,no,cellular,3,feb,3,264,4,other,no,1,1.3862943611198906,1.6094379124341003
31,admin.,single,secondary,no,0,yes,no,cellular,16,jul,2,-1,0,no_previous_contact,no,0,1.0986122886681098,0.0
46,technician,married,secondary,no,138,yes,no,cellular,7,apr,2,-1,0,no_previous_contact,no,0,1.0986122886681098,0.0
36,blue-collar,married,unknown,no,-400,yes,yes,cellular,6,may,2,307,1,failure,no,1,1.0986122886681098,0.6931471805599453
33,technician,single,secondary,no,79,yes,no,cellular,25,aug,3,-1,0,no_previous_contact,no,0,1.3862943611198906,0.0
38,management,married,tertiary,no,126,yes,no,unknown,21,may,2,-1,0,no_previous_contact,no,0,1.0986122886681098,0.0
63,admin.,married,secondary,no,-40,no,no,cellular,22,apr,3,-1,0,no_previous_contact,no,0,1.3862943611198906,0.0
52,self-employed,married,secondary,no,1066,yes,no,unknown,16,may,3,-1,0,no_previous_contact,no,0,1.3862943611198906,0.0
67,retired,married,primary,no,1430,no,no,telephone,12,oct,3,-1,0,no_previous_contact,no,0,1.3862943611198906,0.0
34,blue-collar,married,secondary,no,1207,yes,no,unknown,21,may,1,-1,0,no_previous_contact,yes,0,0.6931471805599453,0.0
69,admin.,married,secondary,no,813,no,no,telephone,28,sep,2,-1,0,no_previous_contact,no,0,1.0986122886681098,0.0
39,blue-collar,married,secondary,no,23,yes,no,unknown,12,may,5,-1,0,no_previous_contact,no,0,1.791759469228055,0.0
56,technician,single,tertiary,no,917,no,no,unknown,9,jun,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
42,blue-collar,divorced,primary,no,28,yes,no,cellular,8,may,5,-1,0,no_previous_contact,no,0,1.791759469228055,0.0
49,housemaid,divorced,primary,no,198,yes,no,unknown,13,may,3,-1,0,no_previous_contact,no,0,1.3862943611198906,0.0
45,admin.,married,secondary,no,740,no,yes,cellular,19,aug,2,-1,0,no_previous_contact,no,0,1.0986122886681098,0.0
34,management,married,tertiary,no,169,no,no,cellular,25,aug,4,-1,0,no_previous_contact,no,0,1.6094379124341003,0.0
49,services,married,primary,no,5737,yes,no,unknown,29,may,2,-1,0,no_previous_contact,no,0,1.0986122886681098,0.0
50,blue-collar,married,primary,no,-454,yes,no,telephone,25,jul,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
31,entrepreneur,single,tertiary,no,38,no,no,cellular,20,nov,2,-1,0,no_previous_contact,no,0,1.0986122886681098,0.0
25,technician,married,secondary,no,691,yes,no,cellular,15,may,1,330,2,failure,no,1,0.6931471805599453,1.0986122886681098
43,retired,married,primary,no,471,no,yes,unknown,15,may,2,-1,0,no_previous_contact,no,0,1.0986122886681098,0.0
27,housemaid,married,secondary,no,22,yes,yes,unknown,27,may,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
31,blue-collar,single,secondary,no,199,no,no,telephone,30,apr,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
40,technician,married,secondary,no,26,yes,no,unknown,16,may,3,-1,0,no_previous_contact,no,0,1.3862943611198906,0.0
51,management,married,tertiary,no,346,no,no,cellular,11,aug,1,180,6,success,yes,1,0.6931471805599453,1.9459101490553132
51,unemployed,married,secondary,no,3640,no,no,telephone,5,feb,6,-1,0,no_previous_contact,no,0,1.9459101490553132,0.0
43,blue-collar,single,primary,no,0,no,no,cellular,9,jul,1,-1,0,no_previous_contact,yes,0,0.6931471805599453,0.0
52,technician,married,secondary,no,118,no,no,cellular,28,aug,20,-1,0,no_previous_contact,no,0,3.044522437723423,0.0
28,technician,married,tertiary,no,858,yes,no,cellular,17,jul,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
32,management,single,tertiary,no,12686,yes,no,cellular,20,nov,1,170,1,failure,no,1,0.6931471805599453,0.6931471805599453
35,technician,single,unknown,no,726,yes,no,cellular,5,may,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
39,management,single,tertiary,no,3797,no,no,cellular,2,jun,2,-1,0,no_previous_contact,no,0,1.0986122886681098,0.0
35,management,married,tertiary,no,-273,yes,no,cellular,16,jul,3,-1,0,no_previous_contact,no,0,1.3862943611198906,0.0
31,entrepreneur,single,tertiary,no,46,yes,no,cellular,5,feb,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
31,blue-collar,married,primary,no,295,yes,no,cellular,12,may,6,-1,0,no_previous_contact,no,0,1.9459101490553132,0.0
39,blue-collar,married,secondary,no,5222,yes,no,unknown,28,may,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
54,blue-collar,married,secondary,no,2255,no,no,cellular,25,aug,6,-1,0,no_previous_contact,no,0,1.9459101490553132,0.0
52,entrepreneur,married,tertiary,yes,-468,no,no,cellular,8,jul,1,-1,0,no_previous_contact,yes,0,0.6931471805599453,0.0
36,management,married,tertiary,no,162,yes,no,cellular,8,aug,2,-1,0,no_previous_contact,no,0,1.0986122886681098,0.0
36,services,married,secondary,no,4721,no,no,cellular,9,dec,3,-1,0,no_previous_contact,yes,0,1.3862943611198906,0.0
30,technician,single,secondary,no,-232,no,yes,cellular,7,aug,2,-1,0,no_previous_contact,no,0,1.0986122886681098,0.0
22,student,single,secondary,no,216,no,no,cellular,6,aug,1,179,2,success,yes,1,0.6931471805599453,1.0986122886681098
57,technician,divorced,tertiary,no,0,yes,no,cellular,31,jul,16,-1,0,no_previous_contact,no,0,2.833213344056216,0.0
42,technician,married,secondary,no,33,no,no,telephone,22,jul,5,-1,0,no_previous_contact,no,0,1.791759469228055,0.0
42,blue-collar,married,primary,no,1673,yes,no,cellular,17,apr,3,-1,0,no_previous_contact,yes,0,1.3862943611198906,0.0
40,management,single,unknown,no,838,yes,no,unknown,12,may,3,-1,0,no_previous_contact,no,0,1.3862943611198906,0.0
50,technician,married,secondary,no,232,no,no,cellular,18,nov,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
33,unemployed,divorced,secondary,no,1005,yes,no,telephone,10,nov,1,174,2,failure,no,1,0.6931471805599453,1.0986122886681098
33,technician,married,tertiary,no,602,yes,no,cellular,18,aug,6,-1,0,no_previous_contact,no,0,1.9459101490553132,0.0
41,self-employed,married,secondary,no,20,no,no,unknown,5,jun,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
38,technician,married,secondary,no,205,no,no,cellular,26,may,1,-1,0,no_previous_contact,yes,0,0.6931471805599453,0.0
55,retired,married,tertiary,no,197,no,yes,cellular,8,jul,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
36,self-employed,single,secondary,no,652,no,no,unknown,17,jun,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
29,housemaid,married,secondary,no,1082,no,yes,cellular,30,jul,4,-1,0,no_previous_contact,no,0,1.6094379124341003,0.0
44,management,married,tertiary,no,368,no,no,cellular,9,jul,3,-1,0,no_previous_contact,no,0,1.3862943611198906,0.0
29,management,single,tertiary,no,7345,no,no,cellular,30,apr,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
28,admin.,married,secondary,no,423,yes,no,cellular,23,jul,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
42,services,married,secondary,no,1007,no,no,unknown,5,jun,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
44,management,married,tertiary,no,870,yes,yes,cellular,12,may,2,369,1,failure,no,1,1.0986122886681098,0.6931471805599453
25,management,married,tertiary,no,-242,yes,yes,cellular,18,may,4,332,4,other,yes,1,1.6094379124341003,1.6094379124341003
40,blue-collar,single,secondary,no,677,yes,no,cellular,17,nov,1,171,5,other,no,1,0.6931471805599453,1.791759469228055
46,services,married,secondary,no,22,yes,no,cellular,21,nov,1,197,3,failure,no,1,0.6931471805599453,1.3862943611198906
44,blue-collar,married,primary,no,228,yes,no,cellular,17,apr,1,343,1,other,no,1,0.6931471805599453,0.6931471805599453
40,blue-collar,married,secondary,no,1808,yes,no,cellular,12,may,1,-1,0,no_previous_contact,yes,0,0.6931471805599453,0.0
43,technician,divorced,secondary,no,87,yes,no,unknown,26,may,2,-1,0,no_previous_contact,no,0,1.0986122886681098,0.0
66,retired,married,primary,no,711,no,no,telephone,20,apr,5,-1,0,no_previous_contact,no,0,1.791759469228055,0.0
32,technician,single,tertiary,no,696,no,yes,cellular,13,aug,4,105,4,failure,no,1,1.6094379124341003,1.6094379124341003
29,technician,single,secondary,no,404,yes,no,unknown,29,may,2,-1,0,no_previous_contact,no,0,1.0986122886681098,0.0
60,retired,divorced,tertiary,no,4,yes,no,cellular,2,dec,1,190,5,failure,yes,1,0.6931471805599453,1.791759469228055
41,technician,single,secondary,no,143,no,no,cellular,20,aug,7,-1,0,no_previous_contact,no,0,2.0794415416798357,0.0
32,technician,married,tertiary,no,903,yes,no,cellular,23,jun,1,320,1,other,no,1,0.6931471805599453,0.6931471805599453
59,unemployed,divorced,secondary,no,7469,no,no,cellular,15,oct,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
39,services,married,secondary,no,1442,no,no,cellular,22,apr,3,-1,0,no_previous_contact,no,0,1.3862943611198906,0.0
36,management,single,tertiary,no,7606,yes,no,unknown,30,may,1,-1,0,no_previous_contact,yes,0,0.6931471805599453,0.0
40,self-employed,married,tertiary,no,2977,yes,no,cellular,17,jul,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
30,services,single,secondary,no,190,no,no,cellular,21,nov,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
32,blue-collar,married,secondary,no,1005,no,no,cellular,12,may,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
34,services,single,primary,no,654,no,no,unknown,3,jun,14,-1,0,no_previous_contact,no,0,2.70805020110221,0.0
33,blue-collar,married,secondary,no,25,yes,no,unknown,23,may,3,-1,0,no_previous_contact,no,0,1.3862943611198906,0.0
